columnPlaceHolder
item
management
discussion
analysis
financial
condition
results
operations
overview
business
energen
corporation
company
oil
natural
gas
exploration
production
engaged
development
liquids
primarily
permian
basin
west
texas
san
juan
new
mexico
conducted
subsidiary
resources
december
remaining
properties
classified
held
sale
subsequent
year
end
non
core
delaware
focused
increasing
proved
reserves
largely
active
exploratory
programs
seeks
expand
footprint
acquisitions
unproved
leasehold
areas
existing
sold
parties
operates
interest
joint
owners
role
includes
overall
project
day
decision
making
relative
operating
performance
date
activities
ended
compared
period
prior
expanded
percent
mboe
experienced
significant
decline
commodity
prices
recognized
cash
impairments
certain
central
platform
$
pre
tax
note
acquisition
disposition
notes
statements
writedowns
issued
additional
shares
common
stock
public
equity
offering
receiving
net
proceeds
approximately
completed
majority
assets
colorado
aggregate
purchase
price
march
vs
loss
totaled
diluted
share
income
continuing
discontinued
current
alagasco
change
result
lower
realized
open
derivatives
resulting
gain
decreased
volumes
higher
depreciation
depletion
amortization
dd&a
expense
increased
general
administrative
partially
offset
closed
ad
valorem
taxes
decrease
respectively
reduced
significantly
asset
impairment
charges
mark
market
increase
basins
offsetting
decreases
following
table
summarizes
information
data
years
thousands
sales
unit
total
gains
losses
derivative
instruments
revenues
mbbl
mmgal
mmcf
average
daily
d
spraberry
trend
area
field
included
excluding
effects
barrel
gallon
mcf
costs
boe
expenses
contained
fluctuate
value
contracts
predominantly
derived
particular
factors
impacting
include
drilling
horizontal
wolfcamp
midland
declines
wolfberry
3rd
bone
spring
fell
declined
bcf
normal
pipeline
curtailments
accelerated
completions
mmboe
rose
continued
mature
impact
wider
basis
differentials
related
program
recovery
declining
exclude
provides
components
lease
workover
repair
marketing
transportation
positively
negatively
impacted
property
dispositions
generally
reflects
increases
number
wells
ongoing
maintenance
electrical
equipment
rental
labor
operated
gathering
environmental
compliance
water
disposal
chemical
treatment
producing
overhead
incidence
stimulation
interference
workovers
associated
pump
tubing
replacements
incurred
protective
preparation
creates
level
base
load
contributed
combined
purposes
determining
driven
factor
adjusted
rates
reserve
revisions
reflected
consolidated
adjust
carrying
fair
estimate
future
discounted
flows
assumptions
based
curve
escalated
assumed
cap
quarter
plans
comparable
periods
estimated
revised
receipt
unsolicited
offer
writedown
quarters
expected
expirations
designated
direct
details
geological
geophysical
dry
hole
delay
rentals
seismic
g&a
benefit
compensation
legal
professional
services
recruiting
pension
including
settlement
effective
january
adjustments
time
liabilities
buyer
resulted
consideration
transaction
reduce
long
term
indebtedness
classification
debt
required
extinguished
write
issuance
senior
loans
repayment
november
october
credit
facility
entered
september
syndicated
facilities
conjunction
repaid
outstanding
balance
addition
measuring
state
deferred
measurement
apportionment
changes
june
bill
signed
law
reduces
franchise
margin
rate
taxpayers
retail
wholesale
trade
reduction
applicable
reports
originally
enacted
reflect
sell
laclede
assumption
august
short
presented
north
louisiana
east
repay
obligations
selling
black
warrior
coalbed
methane
alabama
recorded
july
position
liquidity
flow
key
drivers
settlements
rely
supplemented
borrowings
fund
capital
spending
working
requirements
provided
needs
influenced
accrued
timing
payments
